date_grid,NCP,run,datenum,loess_ncp,NCP_q05,NCP_q95
2021-01-06,-5.30675834067992,with entrainment,18633,3.808275071880556,-19.151692532825727,7.743767495575141
2021-01-16,-3.6519844900529295,with entrainment,18643,3.7178370672727135,-18.415423620907315,12.912209005959108
2021-01-26,-2.9242622765088,with entrainment,18653,3.6219309809581137,-17.35948576445713,12.551803003078232
2021-02-05,0.7066515787441915,with entrainment,18663,3.5198455026855515,-13.657072044118978,15.68984998930337
2021-02-15,-3.0987155641780646,with entrainment,18673,3.4108693222038244,-17.681702989564624,10.042027508693225
2021-02-25,-2.7586455602524533,with entrainment,18683,3.2942911292617283,-19.084367323973563,12.452914325864837
2021-03-07,-1.4952604362040205,with entrainment,18693,3.169399613608061,-15.55836109436497,12.39993134294079
2021-03-17,-4.977782483306145,with entrainment,18703,3.0504403323326246,-21.616565998818793,9.463707619094818
2021-03-27,6.344111368103405,with entrainment,18713,2.9506353152072196,-8.807133862091568,24.235270714166482
2021-04-06,6.027022009008235,with entrainment,18723,2.8677379610036398,-11.240630964901962,23.46849954634917
2021-04-16,23.195711215445296,with entrainment,18733,2.7995016684936807,6.050788765169926,39.64652648946268
2021-04-26,27.078674163911312,with entrainment,18743,2.743679836449135,12.3312721019166,43.4709016290184
2021-05-06,33.38749286688396,with entrainment,18753,2.698025863641798,16.08686154341536,51.14260116797785
2021-05-16,27.910957329719402,with entrainment,18763,2.660293148843463,11.935282857689552,45.58603774050096
2021-05-26,20.53055370170116,with entrainment,18773,2.6282350908259255,3.6487366615952137,34.854670970480406
2021-06-05,36.04482380893548,with entrainment,18783,2.599605088360978,20.418150729228554,52.53562690233889
2021-06-15,32.60212803294624,with entrainment,18793,2.572156540220415,16.01949919533109,46.359744734586876
2021-06-25,30.33904541278583,with entrainment,18803,2.543642845176032,15.893382934451727,45.2620265871877
2021-07-05,16.483533539356255,with entrainment,18813,2.511817401999622,3.35365173610009,29.731081701054883
2021-07-15,22.469831003368217,with entrainment,18823,2.4744336094629786,6.2596528154687014,35.036005250815926
2021-07-25,15.783746817393316,with entrainment,18833,2.3767120644752238,3.2248475072150313,27.262086052707577
2021-08-04,10.12567507418448,with entrainment,18843,2.176860142384036,-6.151975158663647,23.400755547107433
2021-08-14,5.72850099960323,with entrainment,18853,1.892111409619049,-8.319767885177646,20.527912681487212
2021-08-24,4.442246697665394,with entrainment,18863,1.5396994326098956,-8.191460259022346,17.319277206170646
2021-09-03,0.8139261629046188,with entrainment,18873,1.136857777786209,-15.151393316044487,15.640801444147055
2021-09-13,-11.703157564841963,with entrainment,18883,0.700820011577622,-24.77398478970346,5.068780121509703
2021-09-23,-15.200292517916273,with entrainment,18893,0.24881970041376755,-33.87184972528038,1.0324490250606488
