date_grid,mld,zeu,int_N_mmol_m2,next_int_N_mmol_m2,mld_concentration,sub_mld_concentration,int_N_smooth,next_int_N_smooth,dt,diff_mld,we,delta,diff,nitrate_consumption,c_consumption,NCP,datenum,time_step_label
2025-05-25,66.28100016837337,39.99999999999969,741.298864873397,553.6297327476865,10.71368547184665,12.454393560819987,787.2356494265347,595.5950371909347,10,-16.863750089049475,0,1.7407080889733368,0,39.90297802079726,26.43572293877819,26.43572293877819,20233,10 days
2025-06-04,54.682104245041934,39.99999999999959,569.3407194069825,447.3046239871702,9.704062528065482,12.304463112126014,568.1115311280922,433.7291886851521,10,-11.598895923331433,0,2.600400584060532,0,27.48350606284248,18.207822766633143,18.207822766633143,20243,10 days
2025-06-14,44.079300812993054,39.99999999999948,393.69500910389684,300.2532093205998,8.12924594666405,11.755285643447818,412.54101637422605,328.36721894474664,10,-10.60280343204888,0,3.626039696783769,0,21.188172310926063,14.037164155988517,14.037164155988517,20253,10 days
2025-06-24,34.85648212435118,39.99999999999939,274.58732061179825,237.5438235264701,6.941072778617037,11.44492664530687,295.7995661973746,252.30446724116584,10,-9.222818688641873,0,4.503853866689833,0,32.56765274737205,21.576069945133984,21.576069945133984,20263,10 days
2025-07-04,27.908401428774802,39.99999999999932,219.1163688764282,219.11636887642783,5.656457838543867,11.439523680841083,220.0413599734802,207.69352761170376,10,-6.94808069557638,0,5.783065842297216,0,32.263107267685626,21.374308564841726,21.374308564841726,20273,10 days
2025-07-14,23.561110544011022,39.99999999999929,166.42039043221374,166.42039043221362,4.7367084723553985,10.908804766091748,192.3866450491515,192.38664504915104,10,-4.34729088476378,0,6.17209629373635,0,15.30688256255226,10.140809697690873,10.140809697690873,20283,10 days
2025-07-24,21.06946902736987,39.99999999999928,191.62317583881202,191.623175838812,5.158493223318397,11.290697449210068,181.8301623094977,181.83016230949738,10,-2.4916415166411525,0,6.132204225891671,0,10.556482739653347,6.9936698150203425,6.9936698150203425,20293,10 days
2025-08-03,20.09140777334775,39.999999999999275,187.44692065746688,187.44692065746685,4.815024911715249,11.134864753174607,183.61714265510454,183.61714265510423,10,-0.9780612540221192,0,6.319839841459358,0,-1.7869803456071622,-1.183874478964745,-1.183874478964745,20303,10 days
2025-08-13,20.847764963279698,39.999999999999254,171.7813314690342,171.78133146903411,4.611000353243955,10.331505247007657,172.46115958843484,172.46115958843447,10,0.756357189931947,0.756357189931947,5.720504893763702,4.326745006439065,11.155983066669393,7.390838781668473,11.717583788107538,20313,10 days
2025-08-23,23.428469197835057,39.999999999999204,158.15522663880296,158.15522663880276,4.034133795103297,10.484855962171372,167.2484620377102,167.24846203770974,10,2.580704234555359,2.580704234555359,6.450722167068075,16.647406012492702,5.212697550724272,3.45341212735483,20.100818139847533,20323,10 days
