date_grid,mld,zeu,int_N_mmol_m2,next_int_N_mmol_m2,mld_concentration,sub_mld_concentration,int_N_smooth,next_int_N_smooth,dt,diff_mld,we,delta,diff,nitrate_consumption,c_consumption,NCP,time_step_label
2021-11-02,59.81497756209558,39.999999999999986,355.4015901408423,352.716645723235,6.17469604148915,8.043960138683811,349.4626867519102,347.19268539681906,10,-0.35522367488771067,0,1.8692640971946615,0,-55.47515011573154,-36.75228695167214,-36.75228695167214,10 days
2021-11-12,59.39997411147868,39.999999999999986,405.5111879460649,402.69770294414093,6.931428881880594,8.34428388920032,380.7810418986858,377.8751534294112,10,-0.4150034506169007,0,1.4128550073197257,0,-33.58835650186677,-22.252286182486735,-22.252286182486735,10 days
2021-11-22,58.94485659056165,40,381.43034760915026,378.2111116208576,6.559852426277606,7.272317606988733,394.6074996789378,391.5292502095465,10,-0.4551175209170282,0,0.7124651807111269,0,-16.732346249526586,-11.085179390311364,-11.085179390311364,10 days
2021-12-02,58.46929070477357,40,396.8809634815984,393.6789360636409,6.825357421432621,7.577061291338549,435.7482319010506,432.11711514578786,10,-0.4755658857880789,0,0.7517038699059286,0,-44.2189816915041,-29.295075370621465,-29.295075370621465,10 days
2021-12-12,57.99529074284696,40,528.9333846124031,524.461297752865,9.133259352244766,9.439535600326783,488.327114057228,484.3265794552904,10,-0.47399996192660865,0,0.3062762480820176,0,-56.20999891144015,-37.2391242788291,-37.2391242788291,10 days
2021-12-22,57.52980599296775,40,539.1669940776825,534.8395045493654,9.38064698279159,9.804338989234202,540.2761194563844,535.9881259926068,10,-0.4654847498792094,0,0.42369200644261085,0,-55.94954000109402,-37.06657025072479,-37.06657025072479,10 days
2022-01-01,57.10676901565953,39.99999999999999,552.7279796790675,548.6635756755899,9.684637809336882,9.953864608355925,565.1592624494286,560.9882509213706,10,-0.42303697730822165,0,0.2692267990190427,0,-29.17113645682184,-19.32587790264447,-19.32587790264447,10 days
2022-01-11,56.73454506596785,39.999999999999986,603.5828135915358,599.4616725391564,10.651815974052333,10.982966285904839,579.7836663036088,576.0757828509713,10,-0.37222394969167993,0,0.33115031185250565,0,-18.79541538223816,-12.451962690732781,-12.451962690732781,10 days
2022-01-21,56.44864356885756,39.99999999999997,583.0402056402233,580.1021003381678,10.359855778798153,10.621872441860479,581.7171082455117,578.8315098240595,10,-0.285901497110288,0,0.26201666306232596,0,-5.641325394540331,-3.7373780738829696,-3.7373780738829696,10 days
2022-01-31,56.287184484132254,39.999999999999986,558.5283055047757,556.9307565948542,9.9694120022352255,10.224494741245904,571.6463337011047,569.8619435246341,10,-0.16145908472530834,0,0.25508273901067824,0,7.185176122954772,4.760179181457536,4.760179181457536,10 days
2022-02-10,56.20197597029595,39.99999999999998,573.3704899583153,572.5529736408802,10.269586516659068,10.51281742815118,591.9880768317815,591.4953576569895,10,-0.08520851383630657,0,0.2432309114921125,0,-22.126133307147484,-14.658563315985209,-14.658563315985209,10 days
2022-02-20,56.20692975776571,39.99999999999998,644.0654350322535,645.002342735234,11.53531043708179,11.785654591601185,633.7039648373355,634.3286119080922,10,0.004953787469759163,0.004953787469759163,0.25034415451939473,0.0012401517357856294,-42.20860718034601,-27.96320225697923,-27.961962105243444,10 days
2022-03-02,56.288692731815544,39.999999999999986,683.6759695214379,685.4305193481623,12.232330494757681,12.473908947216568,663.0443780502396,664.7416120838373,10,0.08176297404983757,0.08176297404983757,0.24157845245888687,0.019752172739395887,-28.71576614214746,-19.02419506917269,-19.004442896433297,10 days
2022-03-12,56.43314905393592,39.999999999999986,661.3917295970276,663.7919741681154,11.791417941464877,12.043693776589684,667.5993016210488,669.9331822686349,10,0.1444563221203765,0.1444563221203765,0.25227583512480756,0.0364428393019762,-2.857689537211513,-1.8932193184026276,-1.8567764791006514,10 days
2022-03-22,56.637949558061706,39.999999999999986,657.7302057446808,660.5770532896272,12.071261587347928,12.509812687805143,634.41606329895,637.3383196017206,10,0.2048005041257852,0.2048005041257852,0.43855110045721446,0.08981548645855539,35.51711896968493,23.530091317416264,23.61990680387482,10 days
2022-04-01,56.88309506946119,39.99999999999999,584.1262545551416,587.6459313474193,10.631705401685588,11.798714694243381,603.0006272698851,606.0922279335032,10,0.24514551139948537,0.24514551139948537,1.1670092925577933,0.28608708983203185,34.33769233183557,22.748721169841065,23.0348082596731,10 days
2022-04-11,57.16035308584709,40,567.1454215098327,570.0536991634632,10.541306200713034,11.217013228810243,545.946050737508,548.972410060279,10,0.2772580163859004,0.2772580163859004,0.6757070280972091,0.18734519026824406,60.146177195995165,39.8468423923468,40.03418758261505,10 days
2022-04-21,57.453466935044084,40,486.5664761475496,489.21759966995467,9.041443839703847,10.797775543935334,509.01028148862457,512.5715701909668,10,0.2931138491969918,0.2931138491969918,1.7563317042314868,0.5148051462940036,39.96212857165443,26.474910178721064,26.98971532501507,10 days
2022-05-01,57.76650995198433,40,473.31894680849143,478.44341173948266,10.246264681657232,11.419927251082655,487.6982458199006,491.13919193273887,10,0.3130430169402487,0.3130430169402487,1.1736625694254226,0.3674068716027784,24.87332437106619,16.47857739583135,16.84598426743413,10 days
2022-05-11,58.07306046093887,40,503.2093145036607,505.75656438877934,8.895634379147857,11.358205265555815,490.31581291145363,493.62403406584735,10,0.30655050895453684,0.30655050895453684,2.462570886407958,0.7549023585649844,0.8233790212852341,0.5454886016014676,1.300390960166452,10 days
2022-05-21,58.367026793286115,40,494.41917742220886,496.67212606928007,9.381974037730652,11.35044503380566,464.1948939547612,466.3247541663397,10,0.2939663323472459,0.2939663323472459,1.9684709960750073,0.5786641990480997,29.429140111086156,19.49680532359458,20.075469522642678,10 days
2022-05-31,58.63299122195796,40,394.95618993841396,396.5455720409597,7.8951644190677515,10.064842088631165,422.31943531819974,424.7536198008789,10,0.2659644286718432,0.2659644286718432,2.1696776695634137,0.5770570817874896,44.00531884813995,29.153523736892716,29.730580818680206,10 days
2022-06-10,58.868942016605416,40,377.5829385939764,381.0431612923969,6.521864501596406,10.81765297595834,386.7217677619733,388.6934994296076,10,0.23595079464745794,0.23595079464745794,4.295788474361935,1.0135947041630895,38.03185203890558,25.196101975774948,26.209696679938038,10 days
2022-06-20,59.061679026699906,40.00000000000001,387.62617475352965,388.4917649554661,6.9165375181718955,9.505353255584213,386.22098464833965,387.80252508373997,10,0.19273701009448985,0.19273701009448985,2.5888157374123173,0.49896060491441196,2.4725147812679324,1.6380410425900052,2.137001647504417,10 days
2022-06-30,59.19356694863381,40.000000000000014,393.4538405975128,393.8726490033569,7.886161302101445,12.058419530090925,355.59089181736175,356.0190246866219,10,0.13188792193390242,0.13188792193390242,4.17225822798948,0.5502704674611586,32.211633266378215,21.340207038975567,21.890477506436724,10 days
2022-07-10,59.25657500917869,40,285.69266010104275,285.69266010104275,5.475560345458845,10.551760402580246,312.2097896570045,312.3265489513094,10,0.06300806054488106,0.06300806054488106,5.076200057121401,0.31984152053703396,43.80923502961741,29.023618207121537,29.34345972765857,10 days
2022-07-20,59.24080353630504,40,257.48286827245795,257.4143377495285,4.994019302548525,11.065289408571156,241.99725691075824,241.85824607926847,10,-0.015771472873652215,0,6.071270106022631,0,70.32929204055117,46.59315597686515,46.59315597686515,10 days
